method,final_average_accuracy_mean,final_average_accuracy_std,final_average_accuracy_ci95,average_forgetting_mean,average_forgetting_std,average_forgetting_ci95,backward_transfer_mean,backward_transfer_std,backward_transfer_ci95,forward_transfer_mean,forward_transfer_std,forward_transfer_ci95,task_aware_final_accuracy_mean,task_aware_final_accuracy_std,task_aware_final_accuracy_ci95,task_aware_forgetting_mean,task_aware_forgetting_std,task_aware_forgetting_ci95,classifier_gap_mean,classifier_gap_std,classifier_gap_ci95,elapsed_seconds_mean,elapsed_seconds_std,elapsed_seconds_ci95,learner_examples_processed_mean,learner_examples_processed_std,learner_examples_processed_ci95,total_model_examples_processed_mean,total_model_examples_processed_std,total_model_examples_processed_ci95,estimated_total_flops_mean,estimated_total_flops_std,estimated_total_flops_ci95,estimated_overhead_flops_mean,estimated_overhead_flops_std,estimated_overhead_flops_ci95,fastheat_overhead_flops_mean,fastheat_overhead_flops_std,fastheat_overhead_flops_ci95,fastheat_state_bytes_mean,fastheat_state_bytes_std,fastheat_state_bytes_ci95,slowheat_state_bytes_mean,slowheat_state_bytes_std,slowheat_state_bytes_ci95,method_state_bytes_mean,method_state_bytes_std,method_state_bytes_ci95,replay_memory_bytes_mean,replay_memory_bytes_std,replay_memory_bytes_ci95,stored_logits_bytes_mean,stored_logits_bytes_std,stored_logits_bytes_ci95,replay_metadata_bytes_mean,replay_metadata_bytes_std,replay_metadata_bytes_ci95,selector_forward_examples_mean,selector_forward_examples_std,selector_forward_examples_ci95,selection_seconds_mean,selection_seconds_std,selection_seconds_ci95
vanilla,0.18621000000000001,0.0025497058653891807,0.001580324068031616,0.895325,0.009350653571928701,0.005795595128102823,-0.895325,0.009350653571928701,0.005795595128102823,-0.11199999999999999,0.10907061614181685,0.06760266826998933,0.5811,0.03376408348131682,0.02092719575416956,0.40171250000000003,0.04123514252632902,0.02555780612487439,0.39489,0.03242908331181201,0.020099754076549733,36.42990166879899,0.0845402196799623,0.0523985710236157,201600.0,0.0,0.0,201600.0,0.0,0.0,184790030745600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fastheat,0.18600999999999998,0.002218833527379242,0.0013752472682717403,0.8932125,0.007301552821907904,0.004525549325158715,-0.8932125,0.007301552821907904,0.004525549325158715,-0.11131250000000001,0.10819748293051923,0.06706149469889558,0.5917899999999999,0.03482344197679359,0.021583792952223294,0.38598750000000004,0.049537319335471154,0.030703548622720758,0.4057799999999999,0.03625890848390837,0.02247350431102762,43.64710874459706,0.5410335097074543,0.3353360435054734,201600.0,0.0,0.0,201600.0,0.0,0.0,184888347033600.0,0.0,0.0,98316288000.0,0.0,0.0,98316288000.0,0.0,0.0,11008.0,0.0,0.0,0.0,0.0,0.0,11008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
slowheat,0.17683,0.0034192429311504383,0.0021192687250296727,0.8772375,0.011718256471089114,0.007263050608311135,-0.8772375,0.011718256471089114,0.007263050608311135,-0.1115375,0.10839757790575089,0.06718551484943264,0.5805,0.0112136821190306,0.006950312184835055,0.37265000000000004,0.011206211075411117,0.006945681584025192,0.40367,0.008507127730451812,0.005272772394944511,59.84400091620046,1.305238457937269,0.8089951776786193,201600.0,0.0,0.0,201600.0,0.0,0.0,184806788477390.0,0.0,0.0,16757731790.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33324.0,0.0,0.0,33324.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dualheat,0.172,0.0062820732600348105,0.003893669346230847,0.8523624999999999,0.014407565769028761,0.008929901780286036,-0.8523624999999999,0.014407565769028761,0.008929901780286036,-0.11121249999999998,0.10844511940890245,0.06721498137836865,0.58049,0.01314284342649389,0.008146018751103722,0.34175000000000005,0.027740989528133284,0.017194043445333044,0.40849,0.012375733423833017,0.00767055904553971,67.31802389720397,0.6899104764755061,0.4276109435058245,201600.0,0.0,0.0,201600.0,0.0,0.0,184905104765390.0,0.0,0.0,115074019790.0,0.0,0.0,98316288000.0,0.0,0.0,11008.0,0.0,0.0,33324.0,0.0,0.0,44332.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lpr,0.23804000000000003,0.01457343092373546,0.009032706068258591,0.8331,0.018356500513744736,0.011377476892722933,-0.8331,0.018356500513744736,0.011377476892722933,-0.1116625,0.10866475027067835,0.06735110999683343,0.77435,0.011559147411850445,0.007164433791693209,0.1636,0.0162388637054581,0.010064952000768696,0.5363100000000001,0.01849350937190905,0.011462395862800899,67.43562621159944,0.153660061320354,0.0952394927179979,282240.0,0.0,0.0,282680.0,0.0,0.0,353954071976920.0,0.0,0.0,95113591741400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012699222404626198,0.0002654442759557859,0.00016452406675941222
slowheat_lpr,0.26792000000000005,0.013940731688114511,0.008640555019210284,0.788975,0.018110751104124728,0.011225159830586912,-0.788975,0.018110751104124728,0.011225159830586912,-0.11151249999999999,0.10837889186270955,0.06717393311996518,0.7824000000000001,0.011935940124961473,0.0073979723348135155,0.147675,0.016723154274504822,0.010365118405283922,0.51448,0.009922118949319436,0.006149793038613375,91.87698684830102,0.7791356902174109,0.48291330393322024,282240.0,0.0,0.0,282680.0,0.0,0.0,353971701249880.0,0.0,0.0,95131221014360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33184.0,0.0,0.0,33184.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012832755109411665,0.0005992766332025852,0.00037143550544974124
dualheat_lpr,0.28222,0.01145287930803624,0.007098568138559906,0.7620375,0.014286630550973161,0.008854945355562612,-0.7620375,0.014286630550973161,0.008854945355562612,-0.11155,0.10855554453826852,0.0672834235826329,0.7741,0.02053874387590438,0.012730045341631734,0.1501875,0.025365265647906962,0.01572155452891207,0.49188,0.01822347692157321,0.011295028016098257,96.85084781890619,1.2390278610599856,0.7679574245698159,282240.0,0.0,0.0,282680.0,0.0,0.0,354109558632280.0,0.0,0.0,95269078396760.0,0.0,0.0,137857382400.0,0.0,0.0,11008.0,0.0,0.0,33184.0,0.0,0.0,44192.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012734598983661272,0.00031760279415985886,0.00019685225127264044
classifier_expander,0.42098,0.022485293959484797,0.013936529582997964,0.3426,0.035080156229856094,0.021742906094734542,-0.287975,0.04850772418445907,0.030065398936688366,-0.11171249999999999,0.10862341051771482,0.06732548735248783,0.83883,0.012476382132297417,0.0077329417613508575,0.08489999999999998,0.014898825457062044,0.009234387689500587,0.41784999999999994,0.013930003589374967,0.008633905674722175,56.27424850189709,0.07627862062443441,0.04727797887802516,282944.0,0.0,0.0,363584.0,0.0,0.0,283990012329984.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012834259198280051,0.00030304667549088817,0.00018783027545105383
slowheat_classifier_expander,0.44008,0.01877793030838774,0.011638681785609001,0.25780000000000003,0.03325841581047152,0.0206137796846888,-0.074975,0.05162706143314979,0.03199878419391725,-0.1114875,0.10836179834368649,0.06716333844711049,0.85795,0.00579103713605004,0.003589322003449156,0.057837499999999986,0.010583669614079982,0.006559826388708771,0.41787,0.017521038147831892,0.01085965195349796,80.86825336870098,0.406454168796994,0.2519229038223321,282944.0,0.0,0.0,363584.0,0.0,0.0,284007641602944.0,0.0,0.0,17629272960.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33184.0,0.0,0.0,33184.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.012883057096041739,0.00017537133563427817,0.00010869627995439306
dualheat_classifier_expander,0.42713,0.020968921447386542,0.012996672162775629,0.2172,0.024696997118408278,0.015307357403113925,0.0853625,0.06509129406072672,0.040344002035618616,-0.11140000000000001,0.10847770508265742,0.06723517818820739,0.85479,0.009974907406977662,0.006182511663645376,0.055337499999999984,0.01051768517255052,0.006518928808136779,0.42766000000000004,0.01756709044397126,0.010888195462365033,86.81069653340383,0.28261286080162956,0.17516526589309672,282944.0,0.0,0.0,363584.0,0.0,0.0,284184954248064.0,0.0,0.0,194941918080.0,0.0,0.0,177312645120.0,0.0,0.0,11008.0,0.0,0.0,33184.0,0.0,0.0,44192.0,0.0,0.0,2459200.0,0.0,0.0,0.0,0.0,0.0,6400.0,0.0,0.0,0.0,0.0,0.0,0.01279627060284838,0.00023761627420589604,0.00014727609258029478
